topiocqa_train_1_1	what was australia's contribution to the battle of normandy
topiocqa_train_1_2	was the battle fought in australia
topiocqa_train_1_3	when was the battle fought
topiocqa_train_1_4	who fought in this battle
topiocqa_train_1_5	was this battle part of a bigger war
topiocqa_train_1_6	were there any preparations made before the invasion
topiocqa_train_1_7	when did the lieutenant begin his military career
topiocqa_train_1_8	where was he born
topiocqa_train_1_9	where did he study
topiocqa_train_1_10	what programs are there in this college
topiocqa_train_1_11	what awards are presented
topiocqa_train_1_12	can you please describe their plaque
topiocqa_train_2_1	what is yttrium
topiocqa_train_2_2	what are its properties
topiocqa_train_2_3	who discover this element
topiocqa_train_2_4	where was he born
topiocqa_train_2_5	what is the climate like in this place
topiocqa_train_2_6	what is the cause of the latter type of climatic condition
topiocqa_train_2_7	does it have any variety
topiocqa_train_2_8	what is the former mentioned type of climate
topiocqa_train_2_9	what kind of vegetation grow in this type of climatic condition
topiocqa_train_2_10	what is its hot summer subtype
topiocqa_train_3_1	what is pacific swift
topiocqa_train_3_2	which family does it belong to
topiocqa_train_3_3	how does it look like
topiocqa_train_3_4	could you please describe its call
topiocqa_train_3_5	what does it eat
topiocqa_train_3_6	where can this species be found
topiocqa_train_3_7	could you specify the location of the islands
topiocqa_train_3_8	from where did the name of the islands originate
topiocqa_train_3_9	how is the climate like here
topiocqa_train_3_10	was it ever under the control of another country
topiocqa_train_3_11	was any treaty signed
topiocqa_train_4_1	where does publishers clearing house get their money from
topiocqa_train_4_2	what are these organizations
topiocqa_train_4_3	are they governed by any regulations
topiocqa_train_4_4	name some of their products
topiocqa_train_4_5	is is involved in online development
topiocqa_train_4_6	when was it founded
topiocqa_train_4_7	who founded it
topiocqa_train_4_8	where is this company located
topiocqa_train_4_9	any parks located here
topiocqa_train_4_10	name some golf courses located here
topiocqa_train_4_11	what transportation systems are located here
topiocqa_train_5_1	who was james russell lowell
topiocqa_train_5_2	what kind of training is given to last type of professionals
topiocqa_train_5_3	what entails this profession
topiocqa_train_5_4	did the person mentioned above hold any political post
topiocqa_train_5_5	what is the agenda of this convention
topiocqa_train_5_6	where was it held in the beginning
topiocqa_train_5_7	what are the local cuisines there
topiocqa_train_5_8	which annual sporting events take place in the city
topiocqa_train_5_9	are there any theatres
topiocqa_train_5_10	which type of music is liked in the city
topiocqa_train_6_1	who played ramona in scott pilgrim vs. the world
topiocqa_train_6_2	what kind of a work is this
topiocqa_train_6_3	what is the storyline
topiocqa_train_6_4	who directed it
topiocqa_train_6_5	who is associated with the visual effects of the movie
topiocqa_train_6_6	what more can you tell me about the director
topiocqa_train_6_7	can you name any of his works
topiocqa_train_6_8	did he direct ant man
topiocqa_train_6_9	where is the aforesaid studio located
topiocqa_train_6_10	what can you tell me about their logo
topiocqa_train_6_11	do they have a music company
topiocqa_train_7_1	which indian state shares its border with the most number of states in india
topiocqa_train_7_2	when did this state came into existence
topiocqa_train_7_3	who were the rulers here
topiocqa_train_7_4	what is the prominent attire worn here
topiocqa_train_7_5	in which other countries can you find the former attire
topiocqa_train_7_6	which industry produces it
topiocqa_train_7_7	what is its origin
topiocqa_train_7_8	when was this civilisation discovered
topiocqa_train_7_9	what kind of discoveries have been made here
topiocqa_train_7_10	how did they flourish in trading
topiocqa_train_7_11	what was their main occupation
topiocqa_train_7_12	which cities were destructed by the ruler of the state we talked about
topiocqa_train_7_13	what architectural buildings can you find during this rule
topiocqa_train_7_14	what mishaps have happened at the last mentioned building
topiocqa_train_7_15	what is its use in modern culture
topiocqa_train_7_16	when was this corporation established
topiocqa_train_7_17	what is its purpose
topiocqa_train_7_18	which stations does this metro serves
topiocqa_train_8_1	what is the fun home
